,ka_number,class_name,train_name,departure_time,arrival_time,origin_station_code,destination_station_code,origin_station_name,destination_station_name
203,208F,KA EKSEKUTIF EKONOMI,BATURRADEN EKSPRES,18:55:00,19:18:00,PWT,KYA,Purwokerto,Kroya
204,205F,KA EKSEKUTIF EKONOMI,BATURRADEN EKSPRES,19:40:00,02:10:00,KYA,BD,Kroya,Bandung
205,206F,KA EKSEKUTIF EKONOMI,BATURRADEN EKSPRES,07:55:00,13:18:00,BD,KYA,Bandung,Kroya
206,207F,KA EKSEKUTIF EKONOMI,BATURRADEN EKSPRES,13:39:00,14:04:00,KYA,PWT,Kroya,Purwokerto
207,209,KA EKSEKUTIF EKONOMI,MUTIARA TIMUR,09:00:00,15:30:00,SBI,KTG,Surabaya Pasarturi,Ketapang (Banyuwangi)
208,210,KA EKSEKUTIF EKONOMI,MUTIARA TIMUR,22:00:00,04:10:00,KTG,SBI,Ketapang (Banyuwangi),Surabaya Pasarturi
209,211F,KA EKSEKUTIF EKONOMI,MUTIARA TIMUR,21:50:00,03:40:00,SGU,KTG,Surabaya Gubeng,Ketapang (Banyuwangi)
210,212F,KA EKSEKUTIF EKONOMI,MUTIARA TIMUR,08:40:00,14:38:00,KTG,SGU,Ketapang (Banyuwangi),Surabaya Gubeng
211,213,KA EKSEKUTIF EKONOMI,KALIGUNG,08:40:00,11:07:00,SMC,BB,Semarang Poncol,Brebes
212,214,KA EKSEKUTIF EKONOMI,KALIGUNG,11:50:00,15:00:00,BB,SMC,Brebes,Semarang Poncol
213,215,KA EKSEKUTIF EKONOMI,KALIGUNG,17:20:00,19:31:00,SMC,TG,Semarang Poncol,Tegal
214,216,KA EKSEKUTIF EKONOMI,KALIGUNG,04:50:00,07:18:00,BB,SMC,Brebes,Semarang Poncol
